Descrição dos alimentos,Energia (Kcal),Energia (KJ),Proteína (g),Lipídeos (g),Carboidratos (g),Cálcio (mg),Ferro (mg),Retinol (mcg),Vitamina C (mg),Sódio  (mg),Restrições
Chantilly,276.39,1156.42,2.93,24.57,12.36,55.66,0.03,217.56,0.48,45.52,2
"Cheiro verde (50% cebolinha verde, 50% salsa), cru",34.00,142.26,2.79,0.43,5.85,166.00,2.43,0.00,50.10,2.33,0
"Chicória, crua",13.84,57.89,1.14,0.14,2.85,44.83,0.45,0.00,6.54,13.52,0
Chips (salgadinho),558.86,2338.27,05.08,35.25,55.41,2.47,03.05,7.50,0.00,601.77,1
Chocolate em pó de qualquer marca,364.24,1523.98,2.83,3.55,85.53,149.79,0.78,01.08,0.14,350.14,2
"Chocolate, ao leite",539.59,2257.63,7.22,30.27,59.58,191.19,1.58,0.00,0.00,77.00,1
"Chocolate, ao leite, com castanha do Pará",558.88,2338.34,7.41,34.19,55.38,171.23,1.47,36.15,1.42,64.00,1
"Chocolate, ao leite, dietético",556.82,2329.75,6.90,33.77,56.32,187.89,3.31,07.04,02.05,85.00,1
"Chocolate, meio amargo",474.92,1987.06,4.86,29.86,62.42,44.67,3.61,0.00,2.10,9.00,1
"Chuchu, cru",16.98,71.04,0.70,0.06,4.14,11.51,0.17,0.00,10.61,0.00,0
"Ciriguela, crua",75.59,316.29,1.40,0.36,18.86,27.41,0.36,0.01,27.03,1.68,0
Cocada branca,448.85,1877.97,1.12,13.59,81.38,07.06,1.24,0.00,0.00,29.00,2
Coco fresco ralado,354.00,1481.14,3.34,33.50,15.20,14.00,2.44,0.00,3.31,20.00,0
Coco seco ralado,660.00,2761.44,6.89,64.50,24.40,26.00,3.33,0.00,1.51,37.00,0
"Coco, cru",406.49,1700.74,3.69,41.98,10.40,6.48,1.76,0.00,2.49,15.00,0
Coentro,279.00,1167.34,21.93,4.78,52.10,1246.00,42.46,917.00,566.70,211.00,0
"Coentro, folhas desidratadas",309.07,1293.15,20.88,10.39,47.96,783.81,81.43,0.00,40.77,18.26,0
Cogumelo/champignon em conserva,50.74,212.30,1.87,3.20,05.09,11.00,0.79,0.00,0.00,425.00,3
"Corimba, cru",128.16,536.20,17.37,5.99,0.00,40.05,0.50,0.00,0.00,47.01,0
"Corvina de água doce, crua",101.01,422.62,18.92,2.24,0.00,39.43,0.26,8.00,0.00,45.09,0
"Corvina do mar, crua",94.00,393.30,18.57,1.58,0.00,0.00,0.38,65.00,0.00,67.97,0
"Couve, manteiga, crua",27.06,113.21,2.87,0.55,4.33,130.87,0.45,583.00,96.68,6.17,0
"Couve-flor, crua",22.56,94.41,1.91,0.21,4.52,17.82,0.53,2.00,36.05,3.44,0
"Creme de arroz, pó",386.00,1615.03,07.03,1.23,83.87,07.09,0.63,0.00,0.00,01.03,1
Creme de Leite,221.48,926.69,1.51,22.48,4.51,82.73,0.30,127.67,0.00,52.00,0
"Creme de milho, pó",333.03,1393.42,4.82,1.64,86.15,323.16,4.26,0.00,96.34,593.79,1
"Cupuaçu, cru",49.42,206.78,1.16,0.95,10.43,13.12,0.49,30.00,24.51,3.20,0
"Cupuaçu, polpa, congelada",48.80,204.17,0.84,0.59,11.39,5.49,0.26,0.00,10.49,0.69,0
"Cupuaçu, polpa, congelada",52.00,217.57,0.85,0.60,11.40,5.50,0.26,0.00,10.50,0.69,0
"Curau, milho verde, mistura para",402.00,1681.97,2.20,13.40,79.80,31.00,0.90,0.00,0.00,223.00,1
Doce de frutas cristalizado de qualquer sabor,291.30,1218.80,0.77,0.29,74.28,6.10,0.09,1.00,68.49,0.60,2
Doce de frutas em calda de qualquer sabor,77.00,322.17,0.54,0.14,19.79,3.00,0.27,38.17,2.80,6.00,2
Doce de frutas em pasta de qualquer sabor,291.30,1218.80,0.77,0.29,74.28,6.10,0.09,9.35,68.49,0.60,2
"Doce, de abóbora, cremoso",198.94,832.35,0.92,0.21,54.61,12.99,0.85,6.00,0.11,0.00,2
"Doce, de leite, cremoso",306.31,1281.60,5.48,5.99,59.49,195.10,0.07,36.00,0.00,120.00,2
"Doce, de leite, cremoso",306.00,1280.30,5.50,6.00,59.50,195.00,0.10,36.00,0.00,120.00,2
"Doce, leite, cremoso, (média diferentes amostras)",317.00,1326.33,6.12,6.26,58.90,196.00,0.07,0.00,0.00,121.00,2
"Dourada de água doce, fresca",131.21,548.98,18.81,5.64,0.00,12.13,0.15,0.00,0.00,40.30,0
Ervilha em grão,109.09,456.43,5.36,03.06,15.63,27.00,1.54,40.08,14.20,3.00,0
"Ervilha, em vagem",88.09,368.58,7.45,0.47,14.23,24.44,1.44,0.00,12.44,0.00,0
"Ervilha, enlatada, drenada",73.84,308.97,4.60,0.38,13.44,22.22,1.39,9.00,0.00,372.00,3
"Espinafre, Nova Zelândia, cru",16.10,67.34,2.00,0.24,2.57,97.51,0.36,281.00,2.42,17.09,0
Farinha de tapioca/beiju,331.00,1384.90,0.50,0.30,81.10,12.00,0.10,0.00,0.00,2.00,0
"Farinha, de arroz, enriquecida",363.06,1519.03,1.27,0.30,85.50,1.12,31.38,0.00,173.59,17.10,0
"Farinha, de centeio, integral",335.78,1404.89,12.52,1.75,73.30,33.92,4.73,0.00,0.00,41.38,0
"Farinha, de mandioca, crua",360.87,1509.88,1.55,0.28,87.90,64.87,01.09,0.00,0.00,01.02,0
"Farinha, de mandioca, torrada",365.27,1528.29,1.23,0.29,89.19,75.53,1.19,0.00,0.00,10.31,0
"Farinha, de mesocarpo de babaçu, crua",328.77,1375.58,1.41,0.20,79.17,60.95,18.33,0.00,0.00,12.00,0
"Farinha, de milho, amarela",350.59,1466.86,7.19,1.47,79.08,1.29,2.25,47.00,0.00,44.93,0
"Farinha, de puba",360.18,1506.99,1.62,0.47,87.29,41.40,1.43,0.00,0.00,3.61,0
"Farinha, de rosca",370.58,1550.50,11.38,1.46,75.79,35.30,6.73,0.01,0.00,332.50,0
"Farinha, de trigo",360.47,1508.22,9.79,1.37,75.09,17.86,0.95,0.00,0.00,0.74,0
"Farinha, láctea, de cereais",414.85,1735.73,11.88,5.79,77.77,196.06,8.72,492.25,24.31,125.07,1
Farofa pronta,406.00,1698.70,2.10,9.10,80.30,66.00,1.40,0.00,0.00,575.00,1
Fava (em grão),85.62,358.23,4.80,3.17,10.10,18.00,1.50,18.83,19.80,41.00,0
"Fécula, de mandioca",330.85,1384.28,0.52,0.28,81.15,11.89,0.11,0.00,0.00,2.45,0
"Feijão (preto, mulatinho, roxo, rosinha, etc.)",97.41,407.56,5.84,1.79,15.05,55.20,2.22,0.00,0.00,5.20,0
"Feijão, broto, cru",38.72,162.02,4.17,0.10,7.76,14.48,0.82,0.08,12.00,1.79,0
"Feijão, carioca, cru",329.03,1376.65,19.98,1.26,61.22,122.57,7.99,0.00,0.00,0.00,0
"Feijão, fradinho, cru",339.16,1419.07,20.21,2.37,61.24,77.52,5.13,0.00,0.00,10.00,0
"Feijão, jalo, cru",327.91,1371.96,20.10,0.95,61.48,97.97,07.03,0.00,0.00,25.00,0
"Feijão, preto, cru",323.57,1353.80,21.34,1.24,58.75,110.90,6.46,0.00,0.00,0.00,0
"Feijão, rajado, cru",325.84,1363.33,17.27,1.17,62.93,111.43,18.58,0.00,0.00,14.00,0
"Feijão, rosinha, cru",336.96,1409.85,20.92,1.33,62.22,67.66,5.32,0.00,0.00,24.00,0
"Feijão, roxo, cru",331.41,1386.64,22.17,1.24,59.99,120.46,6.92,0.00,0.00,10.00,0
Feijão-verde,121.33,507.64,3.17,3.13,20.32,128.00,1.12,39.58,2.20,4.00,0
"Fermento em pó, químico",89.72,375.40,0.48,0.07,43.91,0.00,0.00,0.00,0.00,10052.00,0
"Fermento, biológico, levedura, tablete",89.79,375.70,16.96,1.52,7.70,18.01,2.62,0.00,0.00,40.00,0
Fibra de trigo,216.00,903.74,15.55,4.25,64.51,73.00,10.57,0.50,0.00,2.00,0
"Figo, cru",41.45,173.41,0.97,0.16,10.25,27.39,0.20,14.00,0.79,0.00,0
"Figo, enlatado, em calda",184.36,771.37,0.56,0.15,50.34,32.62,0.50,0.00,5.24,6.87,2
Filé de frango,173.00,723.83,30.91,4.51,0.00,15.00,01.06,9.00,0.00,77.00,0
"Frango, asa, com pele, crua",213.19,891.98,18.10,15.07,0.00,10.92,0.57,10.37,0.00,96.00,0
"Frango, coração, cru",221.50,926.77,12.58,18.60,0.00,5.51,04.09,9.00,0.00,95.00,0
"Frango, coxa, com pele, crua",161.47,675.61,17.09,9.81,0.00,8.00,0.70,10.00,0.00,95.00,0
"Frango, coxa, sem pele, crua",119.95,501.86,17.81,4.86,0.02,7.97,0.78,11.66,0.00,98.00,0
"Frango, fígado, cru",106.48,445.53,17.59,3.49,-0.02,5.61,9.54,3863.00,0.00,82.00,0
"Frango, inteiro, com pele, cru",226.32,946.92,16.44,17.31,0.00,6.30,0.62,7.00,0.00,63.00,0
"Frango, inteiro, sem pele, cru",129.10,540.14,20.59,4.57,0.00,6.52,0.54,4.00,0.00,73.00,0
"Frango, peito, com pele, cru",149.47,625.36,20.78,6.73,0.00,8.42,0.44,4.00,0.00,62.00,0
"Frango, peito, sem pele, cru",119.16,498.56,21.53,03.02,0.00,7.36,0.43,2.00,0.00,56.00,0
"Frango, sobrecoxa, com pele, crua",254.53,1064.96,15.46,20.90,0.00,07.09,0.71,7.00,0.00,68.00,0
"Frango, sobrecoxa, sem pele, crua",161.80,676.96,17.57,9.62,0.00,6.29,0.90,4.00,0.00,80.00,0
"Fruta-pão, crua",67.05,280.52,01.08,0.19,17.17,33.68,0.23,2.00,9.87,0.80,0
"Gelatina, pó p/, diet (média diferentes sabores)",341.00,1426.74,57.20,0.24,28.80,1.98,0.02,0.00,0.00,157.00,1
"Gelatina, sabores variados, pó",380.22,1590.85,8.89,0.00,89.22,26.84,0.33,0.00,40.00,235.00,1
"Geléia de frutas, diversos sabores",278.00,1163.15,0.37,0.07,68.86,20.00,0.49,0.00,8.80,32.00,2
"Geléia, mocotó, natural",106.09,443.87,2.13,0.07,24.23,3.52,0.12,0.00,0.00,43.00,2
"Geleias, (média diferentes amostras) ",266.00,1112.94,0.35,0.31,66.60,6.72,0.19,0.00,0.87,28.80,2
"Gergelim, semente",583.55,2441.56,21.16,50.43,21.62,825.45,5.45,0.09,0.00,3.00,0
Glicose de milho,292.12,1222.22,0.00,0.00,79.38,5.67,0.05,0.00,0.00,59.00,1
"Goiaba, branca, com casca, crua",51.74,216.47,0.90,0.49,12.40,05.01,0.17,0.00,99.20,0.00,0
"Goiaba, doce em pasta",268.96,1125.33,0.58,0.00,74.12,10.06,0.40,136.00,23.06,3.70,2
"Goiaba, doce, cascão",285.59,1194.90,0.41,0.10,78.70,14.70,0.40,50.00,34.33,11.03,2
"Goiaba, vermelha, com casca, crua",54.17,226.65,01.09,0.44,13.01,4.45,0.17,79.00,80.60,0.00,0
"Goiaba, vermelha, suco natural (néctar), c/ açúcar refinado ",65.00,271.96,0.63,0.37,16.70,05.08,0.14,77.20,59.60,0.96,2
"Goiaba, vermelha, suco natural (néctar), s/ açúcar",37.00,154.81,0.67,0.40,9.64,5.21,0.14,83.80,64.70,0.00,0
"Gordura, vegetal, hidrogenada",900.00,3765.60,0.00,100.00,0.00,0.00,0.00,0.00,0.24,0.00,1
"Grão-de-bico, cru",354.70,1484.08,21.23,5.43,57.88,114.36,5.38,6.70,0.00,5.00,0
"Graviola, crua",61.62,257.83,0.85,0.21,15.84,40.12,0.17,0.20,19.14,4.16,0
"Graviola, polpa, congelada",38.27,160.14,0.57,0.14,9.78,5.98,0.10,0.00,10.48,03.05,0
"Graviola, polpa, congelada ",41.00,171.54,0.57,0.14,9.79,5.98,0.11,0.00,10.50,03.05,0
"Guandu, cru",344.13,1439.86,18.96,2.13,64.00,129.34,1.94,0.00,1.47,2.00,0
"Hambúrguer, bovino, cru",214.84,898.87,13.16,16.18,4.15,34.06,1.89,0.00,0.00,869.00,2
Hortelã ,1.00,4.18,0.00,0.00,0.20,2.00,0.08,0.00,0.00,1.00,0
"Inhame, cru",96.70,404.59,02.05,0.21,23.23,11.80,0.36,0.00,5.62,0.00,0
Iogurte de qualquer sabor ,98.69,412.92,3.46,3.47,14.62,120.93,0.09,29.65,4.15,44.78,2
Iogurte de qualquer sabor light,102.00,426.77,4.37,01.08,19.05,152.00,0.07,10.00,0.70,58.00,2
Iogurte desnatado,56.00,234.30,5.73,0.18,7.68,199.00,0.09,2.00,0.90,77.00,0
Iogurte natural,61.00,255.22,3.47,3.25,4.66,121.00,0.05,27.00,0.50,46.00,0
"Iogurte, integral (média de diferentes sabores)",68.00,284.51,3.00,1.63,10.30,93.60,0.38,0.00,0.00,45.40,0
"Iogurte, integral, coco",68.00,284.51,3.00,1.63,10.30,92.20,0.28,0.00,0.00,43.00,2
"Iogurte, natural",51.49,215.43,04.06,03.04,1.92,143.10,0.00,22.50,0.93,52.00,0
"Iogurte, natural, desnatado",41.49,173.61,3.83,0.32,5.77,156.96,0.00,16.00,0.35,60.00,0
"Iogurte, sabor abacaxi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2
"Iogurte, sabor morango",69.57,291.06,2.71,2.33,9.69,101.03,0.00,27.03,0.00,38.00,2
"Iogurte, sabor pêssego",67.85,283.88,2.53,2.34,9.43,95.05,0.05,21.28,0.00,37.00,2
"Iogurte, soja (média de diferentes amostras)",50.00,209.20,2.82,0.59,8.24,707.00,4.61,0.00,0.00,205.00,2
"Jabuticaba, crua",58.05,242.89,0.61,0.13,15.26,8.35,0.09,0.00,16.17,0.00,0
"Jaca, crua",87.92,367.86,1.40,0.27,22.50,11.25,0.38,29.70,14.82,1.80,0
"Jambo, cru",26.91,112.60,0.89,0.07,6.49,13.80,0.14,25.00,3.77,21.66,0
"Jamelão, cru",41.01,171.58,0.55,0.11,10.63,03.09,0.05,8.00,27.07,1.37,0
Jenipapo,113.00,472.79,5.20,0.30,25.70,40.00,3.60,30.00,33.00,0.00,0
"Jiló, cru",27.37,114.50,1.40,0.22,6.19,19.97,0.34,13.00,6.79,0.00,0
"Jurubeba, crua",125.81,526.40,4.41,3.91,23.06,151.02,0.95,0.00,13.83,0.77,0
"Kiwi, cru",51.14,213.95,1.34,0.63,11.50,23.91,0.25,5.00,70.78,0.00,0
"Lambari, congelado, cru",130.84,547.44,16.81,6.55,0.00,1181.28,0.91,4.31,0.00,47.92,0
"Lambari, fresco, cru",151.60,634.29,15.65,9.40,0.00,590.27,0.63,0.00,0.00,41.11,0
"Laranja e acerola, suco natural (néctar), c/ açúcar refinado",55.00,230.12,0.58,0.09,13.00,8.51,0.01,19.20,182.00,0.95,2
"Laranja e acerola, suco natural (néctar), s/ açúcar ",28.00,117.15,0.62,0.10,6.22,8.90,0.00,20.80,197.00,0.07,0
"Laranja e mamão, suco natural (néctar), c/ açúcar refinado",58.00,242.67,0.54,0.08,13.70,6.78,0.03,15.30,54.70,1.20,2
"Laranja e mamão, suco natural (néctar), s/ açúcar ",29.00,121.34,0.58,0.08,6.38,07.06,0.03,16.60,59.40,0.27,0
"Laranja, baía, crua",45.44,190.11,0.98,0.10,11.47,35.41,0.14,4.00,56.87,0.00,0
"Laranja, baía, suco",36.65,153.34,0.65,0.00,8.70,5.93,0.06,4.00,94.48,0.00,0
"Laranja, da terra, crua",51.47,215.36,01.08,0.19,12.86,51.08,0.15,0.00,34.68,0.83,0
"Laranja, da terra, suco",40.96,171.36,0.67,0.14,9.57,13.39,0.09,5.00,44.32,0.00,0
"Laranja, lima, crua",45.70,191.21,01.06,0.08,11.53,31.47,0.12,0.00,43.46,1.11,0
"Laranja, lima, suco",39.34,164.58,0.71,0.12,9.17,7.74,0.00,0.00,41.30,0.00,0
"Laranja, mamão, pêra e maçã, suco natural (néctar), c/ açúcar refinado",68.00,284.51,0.58,0.14,16.30,7.96,0.06,15.20,51.70,1.32,2
"Laranja, mamão, pêra e maçã, suco natural (néctar), s/ açúcar",39.00,163.18,0.61,0.16,9.16,8.34,0.06,16.50,56.10,0.39,0
"Laranja, pêra, crua",36.77,153.86,01.04,0.13,8.95,21.89,0.09,2.00,53.73,0.00,0
"Laranja, pêra, suco",32.71,136.86,0.74,0.07,7.55,7.37,0.00,0.00,73.34,0.00,0
"Laranja, Seleta, in natura, Citrus aurantium L.",52.00,217.57,0.83,0.36,12.80,34.80,0.14,2.96,55.00,1.00,0
"Laranja, valência, crua",46.11,192.92,0.77,0.16,11.72,33.74,0.09,0.00,47.85,0.63,0
"Laranja, valência, suco",36.20,151.45,0.48,0.12,8.55,09.08,0.00,0.00,0.00,0.00,0
"Lasanha, massa fresca, cozida",163.76,685.19,5.81,1.16,32.52,9.97,1.19,0.00,0.00,206.77,0
"Lasanha, massa fresca, crua",220.31,921.76,07.01,1.34,45.06,16.55,1.87,0.00,0.00,666.71,0
Leite achocolatado diet,73.29,306.65,3.48,3.51,07.09,147.69,0.17,26.86,2.36,71.79,2
Leite de soja em pó,408.33,1708.45,32.85,13.22,42.13,182.41,8.94,0.61,2.64,1263.13,0
"Leite, condensado",312.57,1307.80,7.67,6.74,57.00,246.27,0.13,52.95,2.14,94.00,2
"Leite, de cabra",66.42,277.88,03.07,3.75,5.25,112.25,0.10,34.74,0.00,74.00,0
"Leite, de coco",166.16,695.21,01.01,18.36,2.19,5.85,0.46,0.00,0.00,44.00,0
"Leite, de vaca, achocolatado",82.82,346.52,2.10,2.17,14.16,69.79,0.46,38.94,3.26,72.00,2
"Leite, de vaca, desnatado, pó",361.61,1512.97,34.69,0.93,53.04,1363.17,0.93,299.46,0.00,432.00,0
"Leite, de vaca, desnatado, UHT",37.00,154.81,3.12,0.40,5.14,133.81,0.08,10.90,0.00,51.00,0
"Leite, de vaca, integral",65.00,271.96,2.93,3.24,5.92,108.00,0.08,49.70,0.00,63.80,0
"Leite, de vaca, integral, pó",496.65,2077.98,25.42,26.90,39.18,890.27,0.52,361.06,0.00,323.00,0
"Leite, fermentado",69.62,291.30,1.89,0.10,15.67,71.53,0.00,0.00,0.49,33.00,2
"Lentilha, crua",339.14,1418.97,23.15,0.77,62.00,53.52,07.05,0.00,0.00,0.00,0
"Limão, cravo, suco",14.10,59.01,0.33,0.00,5.25,10.18,0.08,0.00,32.78,0.00,0
"Limão, galego, suco",22.23,92.99,0.57,0.07,7.32,5.26,0.05,2.00,34.50,0.00,0
"Limão, tahiti, cru",31.82,133.13,0.94,0.14,11.08,50.98,0.18,0.00,38.24,1.25,0
"Linguiça (suína, bovina, mista, etc.) (crua)",396.00,1656.86,13.80,36.25,2.70,10.00,1.13,0.00,0.00,805.00,2
"Linguiça, calabresa, fininha, crua",256.00,1071.10,18.00,20.00,1.00,6.94,1.00,0.00,0.00,840.00,2
"Lingüiça, frango, crua",218.11,912.57,14.24,17.44,0.00,10.84,0.47,0.00,0.00,1126.00,2
"Lingüiça, porco, crua",227.20,950.62,16.06,17.58,0.00,6.13,0.44,0.00,0.00,1176.00,2
"Linhaça, semente",495.10,2071.48,14.08,32.25,43.31,211.50,4.70,0.00,0.00,9.00,0
"Maçã, Argentina, com casca, crua",62.53,261.63,0.23,0.25,16.59,3.39,0.05,4.00,1.49,1.32,0
"Maçã, Fuji, com casca, crua",55.52,232.28,0.29,0.00,15.15,1.92,0.09,4.00,2.41,0.00,0
"Macarrão, trigo, cru",371.12,1552.78,10.00,1.30,77.94,17.30,0.88,0.00,0.00,7.17,0
"Macarrão, trigo, cru, com ovos",370.57,1550.45,10.32,1.97,76.62,19.45,0.92,0.00,0.00,14.74,0
"Macaúba, crua",404.28,1691.52,02.08,40.66,13.95,66.53,0.81,0.00,13.44,0.65,0
"Maionese, tradicional com ovos",302.15,1264.21,0.58,30.50,7.90,3.48,0.10,8.00,0.00,787.00,1
"Mamão verde, doce em calda, drenado",209.38,876.03,0.32,0.10,57.64,12.44,0.15,0.00,0.00,4.74,2
"Mamão, doce em calda, drenado",195.63,818.51,0.19,0.07,54.00,20.01,0.11,0.00,3.90,2.91,2
"Mamão, Formosa, cru",45.34,189.71,0.82,0.12,11.55,24.87,0.23,78.00,78.53,3.26,0
"Mamão, Papaia, cru",40.16,168.02,0.46,0.12,10.44,22.42,0.19,77.00,82.21,1.63,0
"Mamão, suco natural (néctar), c/ açúcar refinado ",42.00,175.73,0.30,0.13,10.40,9.33,0.12,70.10,40.20,1.83,2
"Mamão, suco natural (néctar), s/ açúcar",24.00,100.42,0.30,0.14,5.65,9.64,0.12,73.80,42.30,1.29,0
"Mandioca, crua",151.42,633.53,1.13,0.30,36.17,15.19,0.27,3.00,16.53,2.15,0
"Mandioca, farofa, temperada",405.69,1697.42,02.06,9.12,80.30,65.69,1.36,0.00,0.00,574.51,0
"Manga, Haden, crua",63.50,265.69,0.41,0.26,16.66,11.66,0.10,0.00,17.41,0.55,0
"Manga, Palmer, crua",72.49,303.28,0.41,0.17,19.35,11.64,0.09,0.00,65.52,1.86,0
"Manga, polpa, congelada",48.31,202.11,0.38,0.23,12.52,7.12,0.09,0.00,24.90,6.73,0
"Manga, suco natural (néctar), c/ açúcar refinado ",40.00,167.36,0.17,0.10,9.74,2.92,0.05,89.70,09.09,0.89,2
"Manga, suco natural (néctar), s/ açúcar",21.00,87.86,0.17,0.10,05.04,2.88,0.04,94.40,9.57,0.30,0
"Manga, Tommy Atkins, crua",50.69,212.10,0.86,0.22,12.77,7.64,0.08,100.00,7.94,0.00,0
Mangaba,43.00,179.91,0.70,0.30,10.50,41.00,2.80,30.00,33.00,0.00,0
"Manjericão, cru",21.15,88.48,1.99,0.39,3.64,210.92,0.97,1035.00,2.34,3.89,0
"Manteiga, com sal",725.97,3037.45,0.41,82.36,0.06,9.42,0.15,754.00,0.00,578.69,0
"Manteiga, sem sal",757.54,3169.55,0.40,86.04,0.00,3.61,0.00,754.00,0.00,3.85,0
"Maracujá, cru",68.44,286.35,1.99,2.10,12.26,5.39,0.56,70.00,19.84,1.58,0
"Maracujá, polpa, congelada",38.76,162.17,0.81,0.18,9.60,4.61,0.29,78.00,7.26,8.10,0
"Maracujá, polpa, congelada",43.00,179.91,0.82,0.18,9.60,4.61,0.30,78.00,7.26,8.10,0
